时间,地区,国家,(DC)利用外资,(DC)利用外资:对外借款,对外直接投资,对外直接投资:非金融类:累计,对外直接投资:截至累计,利用外资:实际使用:外商直接投资和其他
01/2016,北美洲,,NA,NA,NA,NA,NA,NA
01/2016,北美洲,百慕大群岛,NA,NA,NA,NA,NA,NA
01/2016,北美洲,加拿大,NA,NA,NA,NA,NA,NA
01/2016,北美洲,美国,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,澳大利亚,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,巴布亚新几内亚,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,斐济,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,基里巴斯,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,库克群岛,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,马绍尔群岛共和国,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,密克罗尼西亚联邦,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,帕劳共和国,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,其他国家地区,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,萨摩亚,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,所罗门群岛,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,汤加,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,瓦努阿图,NA,NA,NA,NA,NA,NA
01/2016,大洋洲,新西兰,NA,NA,NA,NA,NA,NA
01/2016,非洲,,NA,NA,NA,NA,NA,NA
01/2016,非洲,阿尔及利亚,NA,NA,NA,NA,NA,NA
01/2016,非洲,埃及,NA,NA,NA,NA,NA,NA
01/2016,非洲,埃塞俄比亚,NA,NA,NA,NA,NA,NA
01/2016,非洲,安哥拉,NA,NA,NA,NA,NA,NA
01/2016,非洲,贝宁,NA,NA,NA,NA,NA,NA
01/2016,非洲,博茨瓦纳,NA,NA,NA,NA,NA,NA
01/2016,非洲,布基纳法索,NA,NA,NA,NA,NA,NA
