年份,月份,对外直接投资:非金融类:累计
2014,4,3870.96774194
2014,5,4686.59594986
2014,6,5778.68852459
2014,7,6633.2046332
2014,8,7240.21592443
2014,9,7238.26714801
2014,10,9634.2355523
2014,11,10354.76718404
2014,12,12538.07106599
2015,2,1580.43940468
2015,3,2560.62767475
2015,4,3720
2015,5,4860
2015,6,7050
2015,7,8590
2015,8,10730
2015,9,12030
2015,10,13170
2015,11,14010
2015,12,14820
2016,1,1160
2016,2,2230
2016,3,3590
2016,4,4910
2016,5,5630
2016,6,6860
2016,7,7870
2016,8,9500
2016,9,11120
2016,10,12070
2016,11,13350
2016,12,14530
2017,1,820
2017,2,1790
2017,3,2950
2017,4,3980
2017,5,5480.59149723
2017,6,6610
2017,7,7650
2017,8,8550
2017,9,9600
2017,10,11180
2017,11,12370
2017,12,14360
2018,1,1350.21097046
2018,2,2150
2018,3,3610
2018,4,4670
2018,5,5930
2018,6,7400
2018,7,8550
2018,8,9580
2018,9,10780
2018,10,11900
2018,11,12960
2018,12,15640
2019,1,1330.54393305
2019,2,2300
2019,3,3760
2019,4,4610
2019,5,5630
2019,6,6800
2019,7,7970
2019,8,8970
2019,9,10040
2019,10,11460
2019,11,12780
2019,12,17100
2020,1,1590
2020,2,2720
2020,3,4200
2020,4,5230
2020,5,6530
2020,6,8120
2020,7,10270
2020,8,11800
2020,9,13020
2020,10,14110
2020,11,15960
2020,12,17790
2021,1,1680
2021,2,3050
2021,3,4420
2021,4,5960
