年份,地区,国家,对外直接投资:截至累计
2003,北美洲,加拿大,46.18
2003,北美洲,美国,502.32
2003,大洋洲,澳大利亚,416.49
2003,大洋洲,巴布亚新几内亚,10.22
2003,大洋洲,密克罗尼西亚联邦,0.3
2003,大洋洲,萨摩亚,0.92
2003,大洋洲,所罗门群岛,0.08
2003,大洋洲,新西兰,44.25
2003,非洲,阿尔及利亚,5.7
2003,非洲,埃及,14.29
2003,非洲,埃塞俄比亚,4.78
2003,非洲,安哥拉,0.3
2003,非洲,贝宁,7.71
2003,非洲,博茨瓦纳,2.1
2003,非洲,赤道几内亚,8.64
2003,非洲,多哥,4.73
2003,非洲,厄立特里亚,1.88
2003,非洲,冈比亚,0.04
2003,非洲,几内亚,14.34
2003,非洲,加纳,6.6
2003,非洲,加蓬,24.05
2003,非洲,津巴布韦,36.74
2003,非洲,喀麦隆,5.73
2003,非洲,科特迪瓦共和国,8.05
2003,非洲,肯尼亚,25.53
2003,非洲,莱索托,0.24
2003,非洲,利比里亚,5.8
2003,非洲,利比亚,0.86
2003,非洲,卢旺达,3.3
2003,非洲,马达加斯加,28.13
2003,非洲,马拉维,0.72
2003,非洲,马里,12.09
2003,非洲,毛里求斯,12.59
2003,非洲,毛里塔尼亚,1.82
2003,非洲,民主刚果,0.24
2003,非洲,摩洛哥,4.31
2003,非洲,莫桑比克,2.42
2003,非洲,纳米比亚,0.72
2003,非洲,南非,44.77
2003,非洲,尼日尔,12.5
2003,非洲,尼日利亚,31.98
2003,非洲,塞内加尔,2.51
2003,非洲,塞舌尔,0.42
2003,非洲,苏丹,0.55
2003,非洲,坦桑尼亚,7.46
2003,非洲,突尼斯,1.56
2003,非洲,乌干达,1.33
2003,非洲,赞比亚,143.7
2003,拉丁美洲,阿根廷,1.05
2003,拉丁美洲,安提瓜和巴布达,0.2
2003,拉丁美洲,巴哈马,44.45
2003,拉丁美洲,巴拿马,0.16
2003,拉丁美洲,巴西,52.19
2003,拉丁美洲,厄瓜多尔,0.55
2003,拉丁美洲,哥伦比亚,0.79
2003,拉丁美洲,古巴,13.95
2003,拉丁美洲,圭亚那,14.04
2003,拉丁美洲,洪都拉斯,8.93
2003,拉丁美洲,开曼群岛,3690.68
2003,拉丁美洲,秘鲁,126.18
2003,拉丁美洲,墨西哥,97.18
2003,拉丁美洲,圣文森特和格林纳丁斯,5.6
2003,拉丁美洲,苏里南,10.06
2003,拉丁美洲,委内瑞拉,19.39
2003,拉丁美洲,乌拉圭,0.53
2003,拉丁美洲,英属维尔京群岛,532.64
2003,拉丁美洲,智利,0.75
2003,欧洲,阿塞拜疆,0.35
2003,欧洲,爱尔兰,0.24
2003,欧洲,爱沙尼亚,0
2003,欧洲,奥地利,0.7
2003,欧洲,保加利亚,0.6
2003,欧洲,比利时,0.41
2003,欧洲,波兰,2.72
2003,欧洲,波斯尼亚—黑塞哥维那,1.46
2003,欧洲,丹麦,74.43
2003,欧洲,德国,83.61
2003,欧洲,俄罗斯,61.64
2003,欧洲,法国,13.12
2003,欧洲,荷兰,5.9
2003,欧洲,捷克,0.33
2003,欧洲,拉脱维亚,1.61
2003,欧洲,罗马尼亚,29.75
2003,欧洲,马耳他,0.37
2003,欧洲,葡萄牙,0.2
2003,欧洲,瑞典,6.07
2003,欧洲,瑞士,2.21
2003,欧洲,斯洛伐克,0.1
2003,欧洲,乌克兰,0.06
2003,欧洲,西班牙,101.81
2003,欧洲,匈牙利,5.43
2003,欧洲,意大利,19.18
2003,欧洲,英国,75.15
2003,亚洲,阿富汗,0.43
2003,亚洲,阿拉伯联合酋长国,31.17
2003,亚洲,澳门特别行政区 (中国),446.86
2003,亚洲,巴基斯坦,27.48
2003,亚洲,巴林,0.15
2003,亚洲,朝鲜,1.17
2003,亚洲,菲律宾,8.75
2003,亚洲,哈萨克斯坦,19.71
2003,亚洲,韩国,235.38
2003,亚洲,吉尔吉斯,15.79
2003,亚洲,柬埔寨,59.49
2003,亚洲,卡塔尔,1.9
2003,亚洲,科威特,0.17
2003,亚洲,老挝,9.11
2003,亚洲,马来西亚,100.66
2003,亚洲,蒙古,13.42
2003,亚洲,孟加拉国,8.45
2003,亚洲,缅甸,10.22
2003,亚洲,尼泊尔,1.81
2003,亚洲,日本,89.31
2003,亚洲,沙特阿拉伯,0.24
2003,亚洲,斯里兰卡,6.54
