年份,国家,lg
2019,阿富汗,3.839667343236006
2018,阿富汗,3.872033997211783
2017,阿富汗,3.9041924263129575
2016,阿富汗,3.938080539747436
2015,阿富汗,3.973494327516247
2014,阿富汗,4.010238052925101
2013,阿富汗,4.047078236421011
2012,阿富汗,4.085135623136791
2011,阿富汗,4.122770036405805
2010,阿富汗,4.160444363926624
2009,阿富汗,4.197652973753796
2008,阿富汗,4.234686046775173
2007,阿富汗,4.271932711876808
2006,阿富汗,4.308245532169378
2005,阿富汗,4.343675543289958
2004,阿富汗,4.3776420363560575
2003,阿富汗,4.410371107683024
2002,阿富汗,4.441827387791918
2001,阿富汗,4.472324272654662
2019,阿尔巴尼亚,2.152924318439639
2018,阿尔巴尼亚,2.136530508663963
2017,阿尔巴尼亚,2.125847914493992
2016,阿尔巴尼亚,2.125847914493992
2015,阿尔巴尼亚,2.1412419425852827
2014,阿尔巴尼亚,2.175887439948088
2013,阿尔巴尼亚,2.2278615467981093
2012,阿尔巴尼亚,2.298577071596507
2011,阿尔巴尼亚,2.382320061012899
2010,阿尔巴尼亚,2.4706386779902956
2009,阿尔巴尼亚,2.558002204858551
2008,阿尔巴尼亚,2.644755350729896
2007,阿尔巴尼亚,2.727199019940971
2006,阿尔巴尼亚,2.805781689595545
2005,阿尔巴尼亚,2.8808824318750488
2004,阿尔巴尼亚,2.950211758252182
2003,阿尔巴尼亚,3.0155349008501706
2002,阿尔巴尼亚,3.0754672415728446
2001,阿尔巴尼亚,3.1315734964654043
2019,阿尔及利亚,2.9932291433358724
2018,阿尔及利亚,3.0170044088295307
2017,阿尔及利亚,3.038312721089109
2016,阿尔及利亚,3.0577676644734435
2015,阿尔及利亚,3.0731561705187946
2014,阿尔及利亚,3.0851158346886765
2013,阿尔及利亚,3.0973859272804907
2012,阿尔及利亚,3.112181086197238
2011,阿尔及利亚,3.132446096869813
2010,阿尔及利亚,3.159550358783386
2009,阿尔及利亚,3.1937631240531252
2008,阿尔及利亚,3.232778730037192
2007,阿尔及利亚,3.2748780149834857
2006,阿尔及利亚,3.3178157727231046
2005,阿尔及利亚,3.361069590571376
2004,阿尔及利亚,3.4035279970004377
2003,阿尔及利亚,3.4429789156771102
2002,阿尔及利亚,3.4769230921902907
2001,阿尔及利亚,3.5040547671018634
2019,安道尔共和国,1.0402767116551463
2018,安道尔共和国,1.0784095813505903
2017,安道尔共和国,1.1184149159642893
2016,安道尔共和国,1.1631508098056809
2015,安道尔共和国,1.205970806988609
2014,安道尔共和国,1.252762968495368
2013,安道尔共和国,1.3001916620664788
2012,安道尔共和国,1.3480731482996928
2011,安道尔共和国,1.3962446919730587
2010,安道尔共和国,1.449269160281279
2009,安道尔共和国,1.4951487660319727
2008,安道尔共和国,1.5432981099295553
2007,安道尔共和国,1.5933085305042167
2006,安道尔共和国,1.6351056591826783
2005,安道尔共和国,1.6808279085207734
2004,安道尔共和国,1.7227665977411035
2003,安道尔共和国,1.7613002617433464
2002,安道尔共和国,1.8050046959780757
2001,安道尔共和国,1.843719208158766
