,2007年第1季度结婚登记,2007年第1季度离婚登记,2007年第2季度结婚登记,2007年第2季度离婚登记,2007年第3季度结婚登记,2007年第3季度离婚登记,2007年第4季度结婚登记,2007年第4季度离婚登记,2008年第1季度结婚登记,2008年第1季度离婚登记,2008年第2季度结婚登记,2008年第2季度离婚登记,2008年第3季度结婚登记,2008年第3季度离婚登记,2008年第4季度结婚登记,2008年第4季度离婚登记,2009年第1季度结婚登记,2009年第1季度离婚登记,2009年第2季度结婚登记,2009年第2季度离婚登记,2009年第3季度结婚登记,2009年第3季度离婚登记,2009年第4季度结婚登记,2009年第4季度离婚登记,2010年第1季度结婚登记,2010年第1季度离婚登记,2010年第2季度结婚登记,2010年第2季度离婚登记,2010年第3季度结婚登记,2010年第3季度离婚登记,2010年第4季度结婚登记,2010年第4季度离婚登记,2011年第1季度结婚登记,2011年第1季度离婚登记,2011年第2季度结婚登记,2011年第2季度离婚登记,2011年第3季度结婚登记,2011年第3季度离婚登记,2011年第4季度结婚登记,2011年第4季度离婚登记,2012年第1季度结婚登记,2012年第1季度离婚登记,2012年第2季度结婚登记,2012年第2季度离婚登记,2012年第3季度结婚登记,2012年第3季度离婚登记,2012年第4季度结婚登记,2012年第4季度离婚登记,2013年第1季度结婚登记,2013年第1季度离婚登记,2013年第2季度结婚登记,2013年第2季度离婚登记,2013年第3季度结婚登记,2013年第3季度离婚登记,2013年第4季度结婚登记,2013年第4季度离婚登记,2014年第1季度结婚登记,2014年第1季度离婚登记,2014年第2季度结婚登记,2014年第2季度离婚登记,2014年第3季度结婚登记,2014年第3季度离婚登记,2014年第4季度结婚登记,2014年第4季度离婚登记,2015年第1季度结婚登记,2015年第2季度离婚登记,2015年第2季度结婚登记,2015年第2季度离婚登记,2015年第3季度结婚登记,2015年第3季度离婚登记,2015年第4季度结婚登记,2015年第4季度离婚登记,2016年第1季度结婚登记,2016年第1季度离婚登记,2016年第2季度结婚登记,2016年第2季度离婚登记,2016年第3季度结婚登记,2016年第3季度离婚登记,2016年第4季度结婚登记,2016年第4季度离婚登记,2017年第1季度结婚登记,2017年第1季度离婚登记,2017年第2季度结婚登记,2017年第2季度离婚登记,2017年第3季度结婚登记,2017年第3季度离婚登记,2017年第4季度结婚登记,2017年第4季度离婚登记,2018年第1季度结婚登记,2018年第1季度离婚登记,2018年第2季度结婚登记,2018年第2季度离婚登记,2018年第3季度结婚登记,2018年第3季度离婚登记,2018年第4季度结婚登记,2018年第4季度离婚登记,2019年第1季度结婚登记,2019年第1季度离婚登记,2019年第2季度结婚登记,2019年第2季度离婚登记,2019年第3季度结婚登记,2019年第3季度离婚登记,2019年第4季度结婚登记,2019年第4季度离婚登记,2020年第1季度结婚登记,2020年第1季度离婚登记,2020年第2季度结婚登记,2020年第2季度离婚登记,2020年第3季度结婚登记,2020年第3季度离婚登记
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对
全国合计,2395186,266404,4326249,595605,6190365,938240,9496787,1404047,2581768,321913,4653909,664766,6760685,1021102,10499015,1552745,2816552,384635,5118351,771390,7447057,1177294,11457078,1712546,3051603,396826,5373639,847819,7791911,1310377,"12,050,206","1,961,362",3175931,465357,5804377,946136,8414033,1465562,12470657,2111486,3469754,536048,6431486,1112197,9059347,1691808,12970884,2388496,4282338,689787,7079916,1342943,9767646,2039894,13274475,2779771,4128036,750369,6940306,1455005,9626254,2187200,12866259,2925332,3599787,766422,6207239,1516236,8828806,2303085,12134056,3127161,3450415,862290,6043386,1683068,8474828,2578863,11328806,3468005,3198223,958178,5584953,1855876,7892524,2791335,10590527,3693178,3017023,973924,5396839,1930527,7649059,2899188,10108266,3800674,2815166,1048369,4979859,2038191,7130794,3104131,9260139,4043224,1556948,612319,3878704,1594847,5894196,2669985
北京市,30991,6094,55880,12689,85788,19547,116649,26257,37407,6925,70843,13509,114836,20130,147094,27279,35261,7143,74783,14542,128031,21890,179718,29674,37522,7430,67479,15836,95750,22914,"141,001","32,982",43635,8044,80817,15141,129953,24668,173238,32999,39700,8446,82218,17485,124635,27630,173990,38197,46773,12852,85118,25396,122291,39075,163650,54520,45975,13063,84232,24913,129132,40336,169128,55944,38847,14635,77760,31957,115577,49703,166018,72999,39670,23549,83269,44272,115034,65735,166207,97583,37282,23064,78465,39701,116424,56710,148303,72036,33934,15381,70907,32894,106373,50444,137818,66616,31193,17150,65641,36078,98944,56720,128959,76356,16047,9189,46129,27873,77533,49355
天津市,17507,3712,34482,7841,54295,12424,75633,16847,37079,4024,41852,8868,61240,12300,80509,16675,19486,4499,39296,9587,71854,15706,103262,21612,19311,4714,39343,10944,58436,15724,"80,913","22,011",24552,6120,46818,11141,76247,19677,103867,26132,22303,6197,46447,13025,75304,21938,99117,29786,26548,9792,50631,19343,77391,29491,102574,39722,26595,8965,49581,18784,76309,28617,99394,38953,22156,9281,48181,21408,71015,31603,101238,46508,23397,12808,44690,25372,69737,41348,96942,58474,20419,12215,47261,28575,66822,39909,95068,55839,22627,11822,44464,26378,71536,43343,97486,60742,23092,16239,47463,33522,73631,51951,96424,69927,11471,7298,37058,25296,64465,45546
河北省,149724,12348,252201,27579,363505,43139,587430,59979,161443,16746,268965,32901,386316,47890,658212,73430,157350,18906,300273,41541,440942,60804,708354,84541,174534,19775,322182,44397,466353,67148,"746,025","98,746",178541,22970,318419,46878,472519,73959,746333,103131,174559,25512,350726,57559,504358,85554,745089,118607,210989,32870,360144,64933,517789,99286,741597,133487,188377,38288,340823,74244,481269,111256,664387,147309,157961,36993,290902,75565,430299,116080,612656,158024,150595,42003,280690,86619,401686,133037,548920,178043,133057,48381,254687,98279,367500,145318,500059,190240,119345,47537,231250,97878,338530,147009,456728,194276,110395,52699,213694,105637,319830,164263,420884,218142,47286,23677,154056,78334,259292,139862
山西省,44818,3030,92917,7078,136022,10580,233302,19458,54749,3508,121672,9182,171838,12236,287327,20536,61431,4197,129717,10030,192724,14577,330961,23676,73497,5698,148299,11177,218828,17405,"360,582","28,473",76961,6325,139049,12179,213565,19140,334909,30975,83381,7050,176670,16503,246334,24594,362827,35585,103719,9554,181594,18231,264413,28327,384041,41937,95592,10484,177313,23486,255046,35000,350710,47894,83795,12039,160121,25014,234988,36923,346243,53891,77956,14068,147860,27304,219201,42861,300182,59008,77666,16256,143457,30732,207761,47127,286917,64458,68243,17210,135290,33734,202732,51172,279133,70803,62922,17860,128240,35817,193106,55137,255043,73658,28686,9583,90893,27254,151875,46669
内蒙古自治区,47457,4845,83399,10800,123931,17098,182965,25015,49870,6565,77088,11961,107131,16449,171145,25967,43911,6408,79922,12920,103763,17603,187855,30602,46089,6791,84289,13861,112052,20445,"186,164","33,516",49383,13188,94914,20182,132918,30581,206726,43612,60600,11763,102288,24139,147872,35685,207707,48866,69537,13059,118100,27973,158742,42711,221612,58312,70238,16803,115596,32258,158984,49415,216762,66584,63292,17577,111722,35619,157350,53058,217857,71400,62227,19704,109994,38889,152588,59237,198392,79024,55003,21230,96488,41242,138823,62717,186958,82851,51228,20869,94491,41396,136425,62340,176866,82095,46705,22043,85292,42498,122320,64690,161767,84172,21754,10824,64575,31017,100099,51718
辽宁省,169701,14354,122525,30919,179544,48156,259305,73978,53863,14741,112847,29879,168819,43343,297295,78202,78026,23609,127297,36184,196438,53026,317640,82402,62925,18522,127483,41052,201949,62710,"296,046","92,702",79856,22263,152848,42810,242080,70018,331221,94031,91054,27548,168617,49901,254869,76473,378331,116185,101028,30548,185277,59069,270949,89173,356657,119850,93284,30669,180243,61536,259195,92359,344540,125995,71870,30136,149080,59080,235815,94349,310356,124396,76020,32606,169857,66904,246361,102923,312563,136114,70163,35550,146206,70315,223995,108320,291552,143861,66946,36247,145440,75349,218863,115112,280169,151832,62921,36567,136913,78736,204274,121257,255585,157509,33635,22142,99075,58087,163279,96701
吉林省,32115,8271,80247,20281,122077,32789,193986,58013,37073,9724,62188,17742,125629,36205,214816,63575,41645,12288,84519,25753,128589,40490,211451,64676,32696,10651,78240,27696,118207,43022,"195,303","69,129",32140,11225,58239,21402,83016,30209,169484,59352,30653,11650,94928,35402,129094,49355,228117,90955,67281,24734,114075,46616,166758,69054,236111,99342,65156,26269,119212,51292,174874,77658,239945,109309,53221,25127,102735,48732,155907,75278,232570,112431,53981,27459,106938,52637,162219,82702,220911,116336,47781,26949,97769,55083,144983,84317,205272,123202,45666,28072,95420,56935,146023,88365,193094,119928,45171,29506,92418,60333,140519,92555,180820,120236,23325,16679,59613,40216,101389,68480
