年份,国家,min(ci.sc),max(ci.sc),median(ci.sc),min(ci.did),max(ci.did),median(ci.did)
2013,蒙古,-0.3999999999999999,0.3799999999999999,0,-1.92,1.7199999999999998,-0.10000000000000009
2014,蒙古,-1.08,0.43999999999999995,-0.2999999999999998,-2.04,1.58,-0.22999999999999976
2015,蒙古,-1.44,0.040000000000000036,-0.6999999999999997,-2.2,1.4400000000000004,-0.3799999999999999
2016,蒙古,-1.38,1.3200000000000003,-0.010000000000000009,-2.38,1.2599999999999998,-0.56
2017,蒙古,-1.8,0.3799999999999999,-0.69,-2.58,1.0600000000000005,-0.7599999999999998
2018,蒙古,-1.98,0.96,-0.49,-2.78,0.8599999999999999,-0.96
2019,蒙古,-2.1,0.52,-0.7799999999999998,-2.8,0.8399999999999999,-0.98
2013,新加坡,-0.5800000000000001,0.10000000000000009,-0.23999999999999977,-0.6600000000000001,1,0.17000000000000015
2014,新加坡,-0.6999999999999997,0.18000000000000016,-0.2599999999999998,-0.56,1.08,0.26000000000000023
2015,新加坡,-0.96,0.6800000000000002,-0.14000000000000012,-0.2599999999999998,1.38,0.56
2016,新加坡,-1.08,0.7600000000000002,-0.16000000000000014,-0.43999999999999995,1.2199999999999998,0.3899999999999999
2017,新加坡,-0.8799999999999999,0.8999999999999999,0.010000000000000009,-0.2799999999999998,1.3600000000000003,0.54
2018,新加坡,-0.8399999999999999,1.2800000000000002,0.2200000000000002,-0.2799999999999998,1.3600000000000003,0.54
2019,新加坡,-0.9199999999999999,0.98,0.030000000000000027,-0.2799999999999998,1.3600000000000003,0.54
2013,印度尼西亚,0.08000000000000007,0.9199999999999999,0.5,-0.06000000000000005,0.8799999999999999,0.4099999999999999
2014,印度尼西亚,-1.32,1.58,0.1200000000000001,0.06000000000000005,1.0200000000000005,0.54
2015,印度尼西亚,-1.5999999999999999,1.8200000000000003,0.13000000000000012,0.10000000000000009,1.0600000000000005,0.5800000000000001
2016,印度尼西亚,-1.26,2,0.3999999999999999,0.06000000000000005,1,0.53
2017,印度尼西亚,-1.28,2,0.33000000000000007,0,0.96,0.48
2018,印度尼西亚,-1.06,2,0.47,0.08000000000000007,1.04,0.56
2019,印度尼西亚,-1.02,1.5600000000000005,0.2500000000000002,0.20000000000000018,1.1600000000000001,0.6800000000000002
2013,马来西亚,-0.6200000000000001,0.56,-0.08000000000000007,-0.98,0.48,-0.24999999999999978
2014,马来西亚,-2.66,0.54,-1.28,-1.16,0.30000000000000027,-0.42999999999999994
2015,马来西亚,-1.8,0.3799999999999999,-0.7899999999999998,-1.08,0.3799999999999999,-0.34999999999999987
2016,马来西亚,-1.08,2,0.8599999999999999,-0.7999999999999998,0.6600000000000001,-0.07000000000000006
2017,马来西亚,-1.14,2,0.43999999999999995,-0.6400000000000001,0.8200000000000003,0.09000000000000008
2018,马来西亚,-0.19999999999999973,1.88,0.6300000000000001,-0.23999999999999977,1.2400000000000002,0.5
2019,马来西亚,-0.43999999999999995,1.4800000000000004,0.52,-0.33999999999999986,1.1399999999999997,0.3999999999999999
2013,泰国,-0.54,0.45999999999999996,-0.050000000000000044,-1.02,0.6600000000000001,-0.18000000000000016
2014,泰国,-1.54,0.98,-0.2999999999999998,-1.06,0.6200000000000001,-0.21999999999999975
2015,泰国,-1.82,1.12,-0.3799999999999999,-1.08,0.6000000000000001,-0.23999999999999977
2016,泰国,-1.84,2,0.09000000000000008,-1.02,0.6600000000000001,-0.18000000000000016
2017,泰国,-1.74,2,0.13000000000000012,-1,0.6800000000000002,-0.16000000000000014
2018,泰国,-1.98,2,0.020000000000000018,-1.02,0.6600000000000001,-0.18000000000000016
2019,泰国,-1.9,1.7999999999999998,-0.040000000000000036,-0.8599999999999999,0.8200000000000003,-0.020000000000000018
2013,越南,-0.6200000000000001,0.41999999999999993,0.050000000000000044,-1.2,0.6400000000000001,-0.2799999999999998
2014,越南,-2.06,0.41999999999999993,-0.8899999999999999,-1.16,0.6800000000000002,-0.23999999999999977
2015,越南,-1.92,0.3999999999999999,-0.7999999999999998,-1.14,0.6800000000000002,-0.22999999999999976
2016,越南,-1.64,2,-0.17999999999999994,-0.96,0.8799999999999999,-0.040000000000000036
2017,越南,-1.82,1.9000000000000004,-0.16000000000000014,-1.1199999999999999,0.7200000000000002,-0.19999999999999973
2018,越南,-1.76,2,-0.19999999999999973,-1.1199999999999999,0.7200000000000002,-0.19999999999999973
2019,越南,-1.7,1.6600000000000001,-0.33999999999999986,-0.9199999999999999,0.9199999999999999,0
2013,菲律宾,-1.56,0.7600000000000002,-0.54,-0.43999999999999995,1.1600000000000001,0.3599999999999999
2014,菲律宾,-2.26,0.33999999999999986,-1.3399999999999999,-0.6000000000000001,1,0.20000000000000018
2015,菲律宾,-2.6,0.020000000000000018,-1.68,-0.8199999999999998,0.8000000000000003,-0.010000000000000009
2016,菲律宾,-2.76,1.2199999999999998,-0.7799999999999998,-1.02,0.6000000000000001,-0.20999999999999974
2017,菲律宾,-2.7,2,-0.18999999999999995,-1.02,0.5800000000000001,-0.21999999999999975
2018,菲律宾,-2.7199999999999998,2,-0.97,-1.14,0.48,-0.32999999999999985
2019,菲律宾,-3,0.06000000000000005,-1.96,-1.4,0.20000000000000018,-0.6000000000000001
2013,柬埔寨,-0.16000000000000014,0.8200000000000003,0.3599999999999999,-0.5,0.8599999999999999,0.18000000000000016
2014,柬埔寨,-0.3999999999999999,0.1200000000000001,-0.10000000000000009,-0.6200000000000001,0.7400000000000002,0.06000000000000005
2015,柬埔寨,-1.1199999999999999,0.43999999999999995,-0.3799999999999999,-0.6200000000000001,0.7200000000000002,0.050000000000000044
2016,柬埔寨,-1.24,1.2000000000000002,0.07000000000000006,-0.6600000000000001,0.6800000000000002,0.010000000000000009
2017,柬埔寨,-1.74,1.8200000000000003,0.020000000000000018,-0.5800000000000001,0.7600000000000002,0.09000000000000008
2018,柬埔寨,-1.4,2,0.3999999999999999,-0.6200000000000001,0.7400000000000002,0.06000000000000005
2019,柬埔寨,-1.74,1.42,-0.18999999999999995,-0.5800000000000001,0.7800000000000002,0.10000000000000009
2013,缅甸,-0.23999999999999977,0.41999999999999993,0.09000000000000008,-1.04,2,0.48
2014,缅甸,-0.48,-0.10000000000000009,-0.2899999999999998,-1.18,1.9000000000000004,0.3599999999999999
2015,缅甸,-0.8999999999999999,0.7200000000000002,-0.09000000000000008,-1.26,1.8399999999999999,0.29000000000000026
2016,缅甸,-1.16,0.8200000000000003,-0.17000000000000015,-1.38,1.7199999999999998,0.17000000000000015
2017,缅甸,-0.94,1.1399999999999997,0.10000000000000009,-1.3399999999999999,1.7400000000000002,0.20000000000000018
2018,缅甸,-1.42,1.2999999999999998,-0.050000000000000044,-1.6199999999999999,1.46,-0.08000000000000007
2019,缅甸,-1.66,0.6400000000000001,-0.51,-1.8,1.2999999999999998,-0.24999999999999978
2013,老挝,-0.21999999999999975,0.3200000000000003,0.050000000000000044,-0.6800000000000002,1.92,0.6200000000000001
2014,老挝,-0.6200000000000001,0.54,-0.040000000000000036,-0.43999999999999995,2,0.7800000000000002
2015,老挝,-1.28,0.6000000000000001,-0.3599999999999999,-0.52,2,0.7400000000000002
2016,老挝,-1.08,1.2199999999999998,0.07000000000000006,-0.6000000000000001,2,0.7000000000000002
2017,老挝,-0.98,1.1399999999999997,0.08000000000000007,-0.56,2,0.7200000000000002
2018,老挝,-0.8199999999999998,2,0.5800000000000001,-0.45999999999999996,2,0.7700000000000002
2019,老挝,-0.96,1.2999999999999998,0.1100000000000001,-0.5,2,0.7500000000000002
2013,文莱,-2,-0.52,-1.28,-1.66,2,0.17000000000000015
2014,文莱,-3,-0.6400000000000001,-1.82,-1.94,2,0.030000000000000027
2015,文莱,-2.78,0.6800000000000002,-1.03,-2.04,2,-0.020000000000000018
2016,文莱,-1.98,0.7800000000000002,-0.5700000000000001,-1.22,2,0.3899999999999999
