年份,国家,min(ci.sc),max(ci.sc),median(ci.sc),min(ci.did),max(ci.did),median(ci.did)
2013,蒙古,-0.14000000000000012,0.06000000000000005,-0.040000000000000036,-0.3999999999999999,-0.040000000000000036,-0.21999999999999975
2014,蒙古,-0.21999999999999975,0.14000000000000012,-0.040000000000000036,-0.43999999999999995,-0.08000000000000007,-0.2599999999999998
2015,蒙古,-0.2799999999999998,0.16000000000000014,-0.06000000000000005,-0.48,-0.1200000000000001,-0.2999999999999998
2016,蒙古,-0.33999999999999986,0.14000000000000012,-0.10000000000000009,-0.52,-0.16000000000000014,-0.33999999999999986
2017,蒙古,-0.3999999999999999,0.08000000000000007,-0.16000000000000014,-0.56,-0.19999999999999973,-0.3799999999999999
2018,蒙古,-0.43999999999999995,0.08000000000000007,-0.18000000000000016,-0.6000000000000001,-0.23999999999999977,-0.41999999999999993
2019,蒙古,-0.43999999999999995,0.08000000000000007,-0.18000000000000016,-0.6200000000000001,-0.2599999999999998,-0.43999999999999995
2013,新加坡,0.020000000000000018,0.26000000000000023,0.14000000000000012,0.040000000000000036,0.28000000000000025,0.16000000000000014
2014,新加坡,0.040000000000000036,0.30000000000000027,0.17000000000000015,0.06000000000000005,0.3200000000000003,0.19000000000000017
2015,新加坡,0.08000000000000007,0.33999999999999986,0.2100000000000002,0.08000000000000007,0.33999999999999986,0.2100000000000002
2016,新加坡,0.08000000000000007,0.3599999999999999,0.2200000000000002,0.1200000000000001,0.3599999999999999,0.2400000000000002
2017,新加坡,0.10000000000000009,0.3799999999999999,0.2400000000000002,0.14000000000000012,0.3799999999999999,0.26000000000000023
2018,新加坡,0.10000000000000009,0.3999999999999999,0.2500000000000002,0.14000000000000012,0.3999999999999999,0.27000000000000024
2019,新加坡,0.10000000000000009,0.3999999999999999,0.2500000000000002,0.14000000000000012,0.3999999999999999,0.27000000000000024
2013,印度尼西亚,-0.08000000000000007,0.040000000000000036,-0.020000000000000018,-0.040000000000000036,0.020000000000000018,-0.010000000000000009
2014,印度尼西亚,-0.16000000000000014,0.06000000000000005,-0.06000000000000005,-0.040000000000000036,0,-0.020000000000000018
2015,印度尼西亚,-0.21999999999999975,0.08000000000000007,-0.07000000000000006,-0.06000000000000005,0,-0.030000000000000027
2016,印度尼西亚,-0.23999999999999977,0.20000000000000018,-0.020000000000000018,-0.06000000000000005,0,-0.030000000000000027
2017,印度尼西亚,-0.2799999999999998,0.26000000000000023,-0.010000000000000009,-0.06000000000000005,-0.020000000000000018,-0.040000000000000036
2018,印度尼西亚,-0.2999999999999998,0.3200000000000003,0.010000000000000009,-0.08000000000000007,-0.020000000000000018,-0.050000000000000044
2019,印度尼西亚,-0.2999999999999998,0.33999999999999986,0.020000000000000018,-0.08000000000000007,-0.020000000000000018,-0.050000000000000044
2013,马来西亚,-0.10000000000000009,0.020000000000000018,-0.040000000000000036,0.040000000000000036,0.3200000000000003,0.18000000000000016
2014,马来西亚,-0.19999999999999973,0.040000000000000036,-0.08000000000000007,0.06000000000000005,0.3599999999999999,0.2100000000000002
2015,马来西亚,-0.21999999999999975,0.10000000000000009,-0.06000000000000005,0.10000000000000009,0.3799999999999999,0.2400000000000002
2016,马来西亚,-0.23999999999999977,0.14000000000000012,-0.050000000000000044,0.14000000000000012,0.43999999999999995,0.29000000000000026
2017,马来西亚,-0.23999999999999977,0.2200000000000002,-0.010000000000000009,0.20000000000000018,0.48,0.33999999999999986
2018,马来西亚,-0.14000000000000012,0.3200000000000003,0.09000000000000008,0.2400000000000002,0.52,0.3799999999999999
2019,马来西亚,-0.1200000000000001,0.43999999999999995,0.16000000000000014,0.28000000000000025,0.56,0.41999999999999993
2013,泰国,-0.18000000000000016,0.08000000000000007,-0.050000000000000044,-0.1200000000000001,-0.020000000000000018,-0.07000000000000006
2014,泰国,-0.23999999999999977,0.1200000000000001,-0.06000000000000005,-0.14000000000000012,-0.040000000000000036,-0.09000000000000008
2015,泰国,-0.2999999999999998,0.16000000000000014,-0.07000000000000006,-0.16000000000000014,-0.06000000000000005,-0.1100000000000001
2016,泰国,-0.3599999999999999,0.2400000000000002,-0.06000000000000005,-0.18000000000000016,-0.06000000000000005,-0.1200000000000001
2017,泰国,-0.3799999999999999,0.28000000000000025,-0.050000000000000044,-0.19999999999999973,-0.08000000000000007,-0.14000000000000012
2018,泰国,-0.3599999999999999,0.3200000000000003,-0.020000000000000018,-0.19999999999999973,-0.10000000000000009,-0.15000000000000013
2019,泰国,-0.3999999999999999,0.3599999999999999,-0.020000000000000018,-0.21999999999999975,-0.1200000000000001,-0.17000000000000015
2013,菲律宾,-0.08000000000000007,0.040000000000000036,-0.020000000000000018,0.020000000000000018,0.2400000000000002,0.13000000000000012
2014,菲律宾,-0.10000000000000009,0.06000000000000005,-0.020000000000000018,0.040000000000000036,0.26000000000000023,0.15000000000000013
2015,菲律宾,-0.14000000000000012,0.10000000000000009,-0.020000000000000018,0.06000000000000005,0.28000000000000025,0.17000000000000015
2016,菲律宾,-0.18000000000000016,0.14000000000000012,-0.020000000000000018,0.06000000000000005,0.30000000000000027,0.18000000000000016
2017,菲律宾,-0.19999999999999973,0.28000000000000025,0.040000000000000036,0.08000000000000007,0.30000000000000027,0.19000000000000017
2018,菲律宾,-0.21999999999999975,0.3200000000000003,0.050000000000000044,0.08000000000000007,0.30000000000000027,0.19000000000000017
2019,菲律宾,-0.2599999999999998,0.33999999999999986,0.040000000000000036,0.08000000000000007,0.3200000000000003,0.20000000000000018
2013,柬埔寨,-0.10000000000000009,0.040000000000000036,-0.030000000000000027,-0.3999999999999999,-0.020000000000000018,-0.20999999999999974
2014,柬埔寨,-0.14000000000000012,0.06000000000000005,-0.040000000000000036,-0.41999999999999993,-0.040000000000000036,-0.22999999999999976
2015,柬埔寨,-0.19999999999999973,0.08000000000000007,-0.06000000000000005,-0.43999999999999995,-0.06000000000000005,-0.24999999999999978
2016,柬埔寨,-0.2599999999999998,0.10000000000000009,-0.08000000000000007,-0.45999999999999996,-0.08000000000000007,-0.2699999999999998
2017,柬埔寨,-0.2999999999999998,0.10000000000000009,-0.10000000000000009,-0.48,-0.10000000000000009,-0.2899999999999998
2018,柬埔寨,-0.31999999999999984,0.08000000000000007,-0.1200000000000001,-0.5,-0.10000000000000009,-0.2999999999999998
2019,柬埔寨,-0.33999999999999986,0.08000000000000007,-0.13000000000000012,-0.5,-0.1200000000000001,-0.30999999999999983
2013,缅甸,-0.1200000000000001,0.1200000000000001,0,-0.08000000000000007,0.08000000000000007,0
2014,缅甸,-0.16000000000000014,0.14000000000000012,-0.010000000000000009,-0.08000000000000007,0.08000000000000007,0
2015,缅甸,-0.18000000000000016,0.18000000000000016,0,-0.08000000000000007,0.08000000000000007,0
2016,缅甸,-0.21999999999999975,0.20000000000000018,-0.010000000000000009,-0.10000000000000009,0.06000000000000005,-0.020000000000000018
2017,缅甸,-0.23999999999999977,0.2200000000000002,-0.010000000000000009,-0.10000000000000009,0.06000000000000005,-0.020000000000000018
2018,缅甸,-0.2599999999999998,0.2200000000000002,-0.020000000000000018,-0.10000000000000009,0.06000000000000005,-0.020000000000000018
2019,缅甸,-0.2799999999999998,0.2400000000000002,-0.020000000000000018,-0.10000000000000009,0.06000000000000005,-0.020000000000000018
2013,东帝汶,-0.06000000000000005,0.08000000000000007,0.010000000000000009,-0.10000000000000009,0.020000000000000018,-0.040000000000000036
2014,东帝汶,-0.10000000000000009,0.18000000000000016,0.040000000000000036,-0.10000000000000009,0.020000000000000018,-0.040000000000000036
2015,东帝汶,-0.1200000000000001,0.2200000000000002,0.050000000000000044,-0.10000000000000009,0.020000000000000018,-0.040000000000000036
2016,东帝汶,-0.14000000000000012,0.2400000000000002,0.050000000000000044,-0.1200000000000001,0.020000000000000018,-0.050000000000000044
2017,东帝汶,-0.16000000000000014,0.26000000000000023,0.050000000000000044,-0.1200000000000001,0,-0.06000000000000005
2018,东帝汶,-0.18000000000000016,0.26000000000000023,0.040000000000000036,-0.1200000000000001,0,-0.06000000000000005
2019,东帝汶,-0.18000000000000016,0.26000000000000023,0.040000000000000036,-0.1200000000000001,0,-0.06000000000000005
2013,印度,-0.1200000000000001,0.020000000000000018,-0.050000000000000044,-0.1200000000000001,-0.040000000000000036,-0.08000000000000007
2014,印度,-0.19999999999999973,0.040000000000000036,-0.08000000000000007,-0.14000000000000012,-0.06000000000000005,-0.10000000000000009
2015,印度,-0.2599999999999998,0.06000000000000005,-0.10000000000000009,-0.16000000000000014,-0.08000000000000007,-0.1200000000000001
2016,印度,-0.2999999999999998,0.08000000000000007,-0.1100000000000001,-0.18000000000000016,-0.10000000000000009,-0.14000000000000012
2017,印度,-0.33999999999999986,0.06000000000000005,-0.14000000000000012,-0.21999999999999975,-0.1200000000000001,-0.17000000000000015
2018,印度,-0.3999999999999999,0.06000000000000005,-0.17000000000000015,-0.23999999999999977,-0.14000000000000012,-0.18999999999999995
2019,印度,-0.43999999999999995,0.06000000000000005,-0.18999999999999995,-0.2599999999999998,-0.18000000000000016,-0.21999999999999975
2013,巴基斯坦,-0.06000000000000005,0,-0.030000000000000027,-0.020000000000000018,0.14000000000000012,0.06000000000000005
2014,巴基斯坦,-0.08000000000000007,0.020000000000000018,-0.030000000000000027,-0.020000000000000018,0.16000000000000014,0.07000000000000006
2015,巴基斯坦,-0.08000000000000007,0.040000000000000036,-0.020000000000000018,0,0.16000000000000014,0.08000000000000007
2016,巴基斯坦,-0.1200000000000001,0.040000000000000036,-0.040000000000000036,0,0.16000000000000014,0.08000000000000007
2017,巴基斯坦,-0.14000000000000012,0.040000000000000036,-0.050000000000000044,0,0.16000000000000014,0.08000000000000007
2018,巴基斯坦,-0.16000000000000014,0.14000000000000012,-0.010000000000000009,0,0.16000000000000014,0.08000000000000007
2019,巴基斯坦,-0.18000000000000016,0.14000000000000012,-0.020000000000000018,0,0.16000000000000014,0.08000000000000007
2013,斯里兰卡,-0.31999999999999984,0.2400000000000002,-0.040000000000000036,-0.2599999999999998,0.14000000000000012,-0.06000000000000005
2014,斯里兰卡,-0.43999999999999995,0.26000000000000023,-0.09000000000000008,-0.2999999999999998,0.1200000000000001,-0.09000000000000008
2015,斯里兰卡,-0.54,0.28000000000000025,-0.13000000000000012,-0.33999999999999986,0.08000000000000007,-0.13000000000000012
2016,斯里兰卡,-0.6000000000000001,0.30000000000000027,-0.15000000000000013,-0.3599999999999999,0.040000000000000036,-0.16000000000000014
2017,斯里兰卡,-0.6400000000000001,0.33999999999999986,-0.15000000000000013,-0.3999999999999999,0.020000000000000018,-0.18999999999999995
2018,斯里兰卡,-0.6800000000000002,0.3599999999999999,-0.16000000000000014,-0.41999999999999993,0,-0.20999999999999974
2019,斯里兰卡,-0.7199999999999998,0.41999999999999993,-0.15000000000000013,-0.41999999999999993,-0.020000000000000018,-0.21999999999999975
2013,孟加拉国,-0.10000000000000009,0.08000000000000007,-0.010000000000000009,-0.14000000000000012,-0.020000000000000018,-0.08000000000000007
2014,孟加拉国,-0.16000000000000014,0.14000000000000012,-0.010000000000000009,-0.16000000000000014,-0.020000000000000018,-0.09000000000000008
2015,孟加拉国,-0.19999999999999973,0.18000000000000016,-0.010000000000000009,-0.18000000000000016,-0.040000000000000036,-0.1100000000000001
2016,孟加拉国,-0.23999999999999977,0.2200000000000002,-0.010000000000000009,-0.19999999999999973,-0.06000000000000005,-0.13000000000000012
2017,孟加拉国,-0.2599999999999998,0.20000000000000018,-0.030000000000000027,-0.19999999999999973,-0.08000000000000007,-0.14000000000000012
2018,孟加拉国,-0.2999999999999998,0.20000000000000018,-0.040000000000000036,-0.21999999999999975,-0.10000000000000009,-0.16000000000000014
2019,孟加拉国,-0.31999999999999984,0.20000000000000018,-0.06000000000000005,-0.23999999999999977,-0.10000000000000009,-0.17000000000000015
2013,尼泊尔,-0.1200000000000001,0.06000000000000005,-0.030000000000000027,-0.1200000000000001,-0.020000000000000018,-0.07000000000000006
2014,尼泊尔,-0.18000000000000016,0.10000000000000009,-0.040000000000000036,-0.14000000000000012,-0.040000000000000036,-0.09000000000000008
2015,尼泊尔,-0.21999999999999975,0.14000000000000012,-0.040000000000000036,-0.16000000000000014,-0.040000000000000036,-0.10000000000000009
2016,尼泊尔,-0.23999999999999977,0.20000000000000018,-0.020000000000000018,-0.16000000000000014,-0.06000000000000005,-0.1100000000000001
2017,尼泊尔,-0.2599999999999998,0.2400000000000002,-0.010000000000000009,-0.18000000000000016,-0.06000000000000005,-0.1200000000000001
2018,尼泊尔,-0.2999999999999998,0.2400000000000002,-0.030000000000000027,-0.18000000000000016,-0.06000000000000005,-0.1200000000000001
2019,尼泊尔,-0.2999999999999998,0.26000000000000023,-0.010000000000000009,-0.18000000000000016,-0.08000000000000007,-0.13000000000000012
2013,不丹,-0.10000000000000009,0.10000000000000009,0,-0.18000000000000016,0,-0.09000000000000008
2014,不丹,-0.14000000000000012,0.18000000000000016,0.020000000000000018,-0.18000000000000016,0,-0.09000000000000008
2015,不丹,-0.16000000000000014,0.2400000000000002,0.040000000000000036,-0.19999999999999973,-0.020000000000000018,-0.1100000000000001
2016,不丹,-0.18000000000000016,0.28000000000000025,0.050000000000000044,-0.19999999999999973,-0.020000000000000018,-0.1100000000000001
2017,不丹,-0.19999999999999973,0.28000000000000025,0.040000000000000036,-0.19999999999999973,-0.040000000000000036,-0.1200000000000001
2018,不丹,-0.21999999999999975,0.30000000000000027,0.040000000000000036,-0.19999999999999973,-0.040000000000000036,-0.1200000000000001
2019,不丹,-0.21999999999999975,0.3200000000000003,0.050000000000000044,-0.21999999999999975,-0.040000000000000036,-0.13000000000000012
2013,科威特,-0.21999999999999975,0,-0.1100000000000001,-0.06000000000000005,0.10000000000000009,0.020000000000000018
2014,科威特,-0.31999999999999984,0.020000000000000018,-0.15000000000000013,-0.06000000000000005,0.10000000000000009,0.020000000000000018
2015,科威特,-0.3799999999999999,0.020000000000000018,-0.18000000000000016,-0.06000000000000005,0.10000000000000009,0.020000000000000018
2016,科威特,-0.43999999999999995,0.020000000000000018,-0.20999999999999974,-0.06000000000000005,0.10000000000000009,0.020000000000000018
2017,科威特,-0.45999999999999996,0.08000000000000007,-0.18999999999999995,-0.06000000000000005,0.10000000000000009,0.020000000000000018
2018,科威特,-0.43999999999999995,0.10000000000000009,-0.17000000000000015,-0.040000000000000036,0.1200000000000001,0.040000000000000036
2019,科威特,-0.48,0.1200000000000001,-0.18000000000000016,-0.040000000000000036,0.1200000000000001,0.040000000000000036
2013,卡塔尔,-0.16000000000000014,0.08000000000000007,-0.040000000000000036,0.020000000000000018,0.08000000000000007,0.050000000000000044
2014,卡塔尔,-0.23999999999999977,0.1200000000000001,-0.06000000000000005,0,0.08000000000000007,0.040000000000000036
2015,卡塔尔,-0.2999999999999998,0.2200000000000002,-0.040000000000000036,0,0.06000000000000005,0.030000000000000027
2016,卡塔尔,-0.3599999999999999,0.26000000000000023,-0.050000000000000044,-0.020000000000000018,0.040000000000000036,0.010000000000000009
2017,卡塔尔,-0.3999999999999999,0.28000000000000025,-0.06000000000000005,-0.040000000000000036,0.020000000000000018,-0.010000000000000009
2018,卡塔尔,-0.3599999999999999,0.3599999999999999,0,-0.06000000000000005,0,-0.030000000000000027
2019,卡塔尔,-0.41999999999999993,0.43999999999999995,0.010000000000000009,-0.06000000000000005,0,-0.030000000000000027
2013,阿曼,-0.10000000000000009,0.08000000000000007,-0.010000000000000009,0.040000000000000036,0.20000000000000018,0.1200000000000001
