country_name,p.noeff.did.mb,p.noeff.sc.mb,p.noeff.did.all,p.noeff.sc.all
蒙古,0.4117647058823529,0.9411764705882353,0.12437810945273632,0.9552238805970149
新加坡,0.47058823529411764,0.5882352941176471,0.14427860696517414,0.8159203980099502
印度尼西亚,0.4117647058823529,0.23529411764705882,0.14427860696517414,0.0845771144278607
马来西亚,0.4117647058823529,1,0.1044776119402985,0.9950248756218906
泰国,0.4117647058823529,0.6470588235294118,0.18407960199004975,0.8706467661691543
菲律宾,0.47058823529411764,0.7058823529411765,0.14427860696517414,0.6368159203980099
柬埔寨,0.47058823529411764,0.8235294117647058,0.1791044776119403,0.9303482587064676
缅甸,0.7647058823529411,0.7647058823529411,0.5870646766169154,0.9203980099502488
东帝汶,0.47058823529411764,0.23529411764705882,0.5223880597014925,0.2835820895522388
印度,0.4117647058823529,0.058823529411764705,0.12437810945273632,0.01990049751243781
巴基斯坦,0.47058823529411764,0.47058823529411764,0.472636815920398,0.5572139303482587
斯里兰卡,0.4117647058823529,0.9411764705882353,0.1691542288557214,1
孟加拉国,0.4117647058823529,0.7647058823529411,0.16417910447761194,0.8756218905472637
尼泊尔,0.47058823529411764,0.9411764705882353,0.11940298507462686,0.845771144278607
不丹,0.47058823529411764,0.11764705882352941,0.3582089552238806,0.029850746268656716
科威特,0.8235294117647058,0.6470588235294118,0.9651741293532338,0.6169154228855721
卡塔尔,0.058823529411764705,0.11764705882352941,0.10945273631840796,0.02487562189054726
阿曼,0.4117647058823529,0.29411764705882354,0.12935323383084577,0.2935323383084577
黎巴嫩,0.47058823529411764,0.058823529411764705,0.40298507462686567,0.004975124378109453
沙特阿拉伯,0.4117647058823529,0.29411764705882354,0.1691542288557214,0.15920398009950248
巴林,0.4117647058823529,0.29411764705882354,0.25870646766169153,0.14427860696517414
以色列,0.29411764705882354,0.17647058823529413,0.19402985074626866,0.05970149253731343
约旦,0.47058823529411764,1,0.3731343283582089,1
伊拉克,0.5294117647058824,1,0.6965174129353233,1
阿富汗,0.35294117647058826,0.058823529411764705,0.08955223880597014,0.004975124378109453
阿塞拜疆,0.4117647058823529,0.058823529411764705,0.1044776119402985,0.029850746268656716
格鲁吉亚,0.47058823529411764,1,0.4825870646766169,0.9800995024875622
亚美尼亚,0.4117647058823529,0.5294117647058824,0.13432835820895522,0.6069651741293532
哈萨克斯坦,0.4117647058823529,0.11764705882352941,0.1144278606965174,0.004975124378109453
埃及,0.4117647058823529,0.35294117647058826,0.1144278606965174,0.12935323383084577
波兰,0.47058823529411764,1,0.39303482587064675,0.9950248756218906
阿尔巴尼亚,0.5882352941176471,0.058823529411764705,0.4427860696517413,0.009950248756218905
爱沙尼亚,0.47058823529411764,1,0.1990049751243781,0.9402985074626865
立陶宛,0.5294117647058824,0.29411764705882354,0.572139303482587,0.25870646766169153
斯洛文尼亚,0.4117647058823529,0.17647058823529413,0.11940298507462686,0.04975124378109452
保加利亚,0.35294117647058826,0.7647058823529411,0.11940298507462686,0.8109452736318408
匈牙利,0.4117647058823529,0.058823529411764705,0.11940298507462686,0.004975124378109453
塞尔维亚,0.4117647058823529,1,0.3333333333333333,0.9800995024875622
罗马尼亚,0.4117647058823529,0.8823529411764706,0.12935323383084577,0.9701492537313433
斯洛伐克,0.4117647058823529,0.6470588235294118,0.0845771144278607,0.7462686567164178
克罗地亚,0.058823529411764705,0.23529411764705882,0.12437810945273632,0.2935323383084577
拉脱维亚,0.4117647058823529,0.8823529411764706,0.0845771144278607,0.9850746268656716
黑山,0.4117647058823529,0.35294117647058826,0.10945273631840796,0.07462686567164178
白俄罗斯,0.47058823529411764,0.9411764705882353,0.3034825870646766,1
