country_name,"sens.did.mb[, 1]","sens.sc.mb[, 1]","sens.did.all[, 1]","sens.sc.all[, 1]"
蒙古,0.1,0.7,0.1044776119402985,0.7164179104477612
蒙古,0.2,0.6,0.03980099502487562,0.7114427860696517
蒙古,0.3,0.7,0.0845771144278607,0.8756218905472637
新加坡,0.1,0.1,0.0845771144278607,0.12437810945273632
新加坡,0.1,0.4,0.02487562189054726,0.1791044776119403
新加坡,0.2,0.5,0.02487562189054726,0.22388059701492538
印度尼西亚,0.2,0.1,0.23383084577114427,0.12935323383084577
印度尼西亚,0.3,0.1,0.20398009950248755,0.029850746268656716
印度尼西亚,0.4,0.1,0.3233830845771144,0.004975124378109453
马来西亚,0.1,0.6,0.1144278606965174,0.5870646766169154
马来西亚,0.2,0.7,0.0845771144278607,0.5870646766169154
马来西亚,0.3,0.8,0.09950248756218905,0.9303482587064676
泰国,0.1,0.6,0.07960199004975124,0.5970149253731343
泰国,0.2,0.6,0.03980099502487562,0.7064676616915423
泰国,0.3,0.7,0.04477611940298507,0.890547263681592
菲律宾,0.1,1,0.13930348258706468,1
菲律宾,0.2,1,0.04975124378109452,1
菲律宾,0.3,1,0.07462686567164178,1
柬埔寨,0.1,0.6,0.11940298507462686,0.6467661691542288
柬埔寨,0.2,0.4,0.03980099502487562,0.3681592039800995
柬埔寨,0.3,0.2,0.07960199004975124,0.05970149253731343
缅甸,0.5,0.7,0.46766169154228854,0.6965174129353233
缅甸,0.7,0.8,0.7611940298507462,0.8308457711442786
缅甸,0.9,0.7,0.9651741293532338,0.8955223880597015
东帝汶,0.3,0.9,0.2935323383084577,0.9154228855721392
东帝汶,0.3,0.7,0.21890547263681592,0.7860696517412935
东帝汶,0.4,0.5,0.25870646766169153,0.4626865671641791
印度,0.1,1,0.10945273631840796,1
印度,0.1,1,0.02487562189054726,1
印度,0.2,0.4,0.04975124378109452,0.3283582089552239
巴基斯坦,0.2,0.6,0.1791044776119403,0.5572139303482587
巴基斯坦,0.3,0.4,0.10945273631840796,0.3980099502487562
巴基斯坦,0.4,0.7,0.1791044776119403,0.681592039800995
斯里兰卡,0.2,0.7,0.22388059701492538,0.6368159203980099
斯里兰卡,0.3,1,0.24378109452736318,0.9402985074626865
斯里兰卡,0.4,0.9,0.3383084577114428,0.9502487562189055
孟加拉国,0.1,0.9,0.13432835820895522,0.9054726368159204
孟加拉国,0.2,0.8,0.05970149253731343,0.9154228855721392
孟加拉国,0.3,0.8,0.03980099502487562,0.8557213930348259
尼泊尔,0.1,0.6,0.07462686567164178,0.6119402985074627
尼泊尔,0.2,0.6,0.04477611940298507,0.7064676616915423
尼泊尔,0.3,0.7,0.06467661691542288,0.8507462686567164
不丹,0.2,0.8,0.13432835820895522,0.8109452736318408
不丹,0.2,1,0.0945273631840796,0.9601990049751243
不丹,0.3,0.9,0.0945273631840796,0.9203980099502488
科威特,0.7,0.7,0.7661691542288557,0.681592039800995
科威特,0.6,0.6,0.5074626865671642,0.7313432835820896
科威特,0.5,0.8,0.43283582089552236,0.9203980099502488
卡塔尔,0.1,1,0.08955223880597014,1
卡塔尔,0.1,1,0.04477611940298507,1
卡塔尔,0.3,1,0.04477611940298507,1
阿曼,0.1,0.6,0.1044776119402985,0.5970149253731343
阿曼,0.1,0.5,0.03980099502487562,0.5373134328358209
阿曼,0.2,0.6,0.04975124378109452,0.7014925373134329
黎巴嫩,0.3,1,0.3233830845771144,1
黎巴嫩,0.3,1,0.2288557213930348,0.9502487562189055
黎巴嫩,0.4,1,0.263681592039801,0.990049751243781
沙特阿拉伯,0.1,0.8,0.14925373134328357,0.7711442786069651
沙特阿拉伯,0.2,0.6,0.04477611940298507,0.6517412935323383
沙特阿拉伯,0.3,0.7,0.05970149253731343,0.8009950248756219
巴林,0.5,0.7,0.527363184079602,0.7064676616915423
巴林,0.2,0.7,0.11940298507462686,0.6616915422885572
巴林,0.1,0.8,0.03482587064676617,0.900497512437811
以色列,0.6,0.8,0.6169154228855721,0.7960199004975124
以色列,0.6,0.7,0.472636815920398,0.8208955223880597
以色列,0.5,0.9,0.5223880597014925,0.900497512437811
约旦,0.2,0.8,0.2288557213930348,0.8009950248756219
约旦,0.3,0.5,0.10945273631840796,0.6417910447761194
约旦,0.4,0.9,0.1144278606965174,0.9104477611940298
伊拉克,0.3,0.7,0.30845771144278605,0.7164179104477612
伊拉克,0.3,0.7,0.18407960199004975,0.8159203980099502
伊拉克,0.4,0.9,0.31840796019900497,0.9601990049751243
阿富汗,0.1,0.2,0.11940298507462686,0.2537313432835821
阿富汗,0.1,0.1,0.07960199004975124,0.04477611940298507
阿富汗,0.1,0.2,0.09950248756218905,0.009950248756218905
阿塞拜疆,0.1,0.7,0.09950248756218905,0.6666666666666666
阿塞拜疆,0.2,0.6,0.06467661691542288,0.5621890547263682
阿塞拜疆,0.3,0.4,0.04477611940298507,0.4925373134328358
格鲁吉亚,0.2,0.8,0.15422885572139303,0.7860696517412935
格鲁吉亚,0.3,0.9,0.09950248756218905,0.8706467661691543
格鲁吉亚,0.4,0.8,0.13930348258706468,0.6865671641791045
亚美尼亚,0.1,1,0.1144278606965174,1
亚美尼亚,0.2,1,0.02487562189054726,1
亚美尼亚,0.3,1,0.05472636815920398,1
哈萨克斯坦,0.1,0.1,0.0845771144278607,0.05970149253731343
哈萨克斯坦,0.1,0.2,0.02487562189054726,0.19402985074626866
哈萨克斯坦,0.3,0.1,0.05472636815920398,0.1791044776119403
埃及,0.1,0.5,0.0845771144278607,0.5422885572139303
埃及,0.2,0.5,0.04477611940298507,0.5024875621890548
埃及,0.3,0.6,0.06965174129353234,0.7810945273631841
波兰,0.1,0.9,0.12935323383084577,0.9203980099502488
波兰,0.1,1,0.029850746268656716,1
波兰,0.1,0.9,0.01990049751243781,0.9402985074626865
阿尔巴尼亚,0.1,1,0.1144278606965174,1
阿尔巴尼亚,0.2,0.9,0.03980099502487562,0.9552238805970149
阿尔巴尼亚,0.3,0.9,0.06965174129353234,0.9502487562189055
爱沙尼亚,0.2,0.1,0.2288557213930348,0.1044776119402985
爱沙尼亚,0.3,0.2,0.0945273631840796,0.06467661691542288
爱沙尼亚,0.4,0.3,0.1144278606965174,0.05970149253731343
立陶宛,0.1,0.9,0.1044776119402985,0.8706467661691543
立陶宛,0.1,0.8,0.03980099502487562,0.7462686567164178
立陶宛,0.1,0.8,0.02487562189054726,0.7860696517412935
斯洛文尼亚,0.1,0.1,0.13432835820895522,0.06965174129353234
斯洛文尼亚,0.2,0.1,0.03482587064676617,0.02487562189054726
斯洛文尼亚,0.3,0.1,0.13930348258706468,0.014925373134328358
保加利亚,0.3,0.2,0.31343283582089554,0.18407960199004975
保加利亚,0.6,0.1,0.5671641791044776,0.029850746268656716
保加利亚,0.9,0.1,0.8756218905472637,0.15422885572139303
匈牙利,0.8,1,0.8059701492537313,1
匈牙利,0.7,1,0.7014925373134329,0.9303482587064676
匈牙利,0.6,1,0.5124378109452736,1
塞尔维亚,0.8,0.5,0.7960199004975124,0.4975124378109453
塞尔维亚,0.8,0.7,0.845771144278607,0.736318407960199
塞尔维亚,0.9,0.9,0.990049751243781,0.8258706467661692
罗马尼亚,0.3,0.7,0.3034825870646766,0.6865671641791045
罗马尼亚,0.4,0.9,0.23383084577114427,0.945273631840796
罗马尼亚,0.4,1,0.14925373134328357,0.9751243781094527
斯洛伐克,0.1,0.8,0.0845771144278607,0.7711442786069651
斯洛伐克,0.1,0.7,0.04477611940298507,0.8308457711442786
斯洛伐克,0.3,0.9,0.0845771144278607,0.9850746268656716
克罗地亚,0.8,1,0.8109452736318408,1
克罗地亚,0.6,1,0.582089552238806,0.9651741293532338
克罗地亚,0.5,0.9,0.4527363184079602,0.9253731343283582
拉脱维亚,0.1,0.1,0.12935323383084577,0.1144278606965174
拉脱维亚,0.2,0.1,0.03980099502487562,0.01990049751243781
拉脱维亚,0.3,0.2,0.05472636815920398,0.13432835820895522
黑山,0.1,0.1,0.0945273631840796,0.13930348258706468
黑山,0.2,0.1,0.05472636815920398,0.03980099502487562
黑山,0.3,0.2,0.06965174129353234,0.13930348258706468
白俄罗斯,0.2,0.2,0.1691542288557214,0.23383084577114427
白俄罗斯,0.3,0.3,0.1044776119402985,0.3233830845771144
白俄罗斯,0.4,0.1,0.06467661691542288,0.07462686567164178
