country_name,"sens.did.mb[, 1]","sens.sc.mb[, 1]","sens.did.all[, 1]","sens.sc.all[, 1]"
蒙古,0.5,0.4,0.5522388059701493,0.4079601990049751
蒙古,0.7,0.4,0.7164179104477612,0.3283582089552239
蒙古,0.9,0.3,0.8756218905472637,0.24378109452736318
新加坡,0.7,0.4,0.6965174129353233,0.43781094527363185
新加坡,0.3,0.3,0.39303482587064675,0.07960199004975124
新加坡,0.8,0.2,0.5970149253731343,0.05472636815920398
印度尼西亚,0.4,0.2,0.4079601990049751,0.1990049751243781
印度尼西亚,0.8,0.3,0.8805970149253731,0.24875621890547264
印度尼西亚,0.8,0.5,0.890547263681592,0.47761194029850745
马来西亚,0.3,0.1,0.3383084577114428,0.1044776119402985
马来西亚,0.4,0.1,0.22388059701492538,0.04477611940298507
马来西亚,0.4,0.1,0.34825870646766166,0.1044776119402985
泰国,0.9,0.3,0.900497512437811,0.31840796019900497
泰国,0.9,0.7,0.8507462686567164,0.7014925373134329
泰国,0.9,0.6,0.9154228855721392,0.736318407960199
越南,0.4,0.8,0.40298507462686567,0.8258706467661692
越南,0.5,0.8,0.5920398009950248,0.7960199004975124
越南,0.6,0.6,0.6965174129353233,0.6666666666666666
菲律宾,0.4,0.1,0.4129353233830846,0.07462686567164178
菲律宾,0.2,0.1,0.07960199004975124,0.029850746268656716
菲律宾,0.1,0.1,0.014925373134328358,0.009950248756218905
柬埔寨,0.6,0.8,0.5870646766169154,0.8159203980099502
柬埔寨,0.4,0.5,0.3980099502487562,0.582089552238806
柬埔寨,0.5,0.9,0.5422885572139303,0.845771144278607
缅甸,0.6,0.9,0.5970149253731343,0.9154228855721392
缅甸,0.5,1,0.42786069651741293,0.8756218905472637
缅甸,0.4,0.4,0.34328358208955223,0.3383084577114428
老挝,0.4,0.6,0.39303482587064675,0.5771144278606966
老挝,0.4,0.4,0.39303482587064675,0.34328358208955223
老挝,0.5,0.6,0.5074626865671642,0.5771144278606966
文莱,0.5,0.2,0.5124378109452736,0.19402985074626866
文莱,0.4,0.1,0.24875621890547264,0.029850746268656716
文莱,0.4,0.2,0.18407960199004975,0.1044776119402985
东帝汶,0.7,0.5,0.6865671641791045,0.5174129353233831
东帝汶,0.7,1,0.6616915422885572,0.8756218905472637
东帝汶,0.6,0.8,0.43781094527363185,0.7960199004975124
印度,0.3,0.4,0.3880597014925373,0.3980099502487562
印度,0.3,0.5,0.2537313432835821,0.5472636815920398
印度,0.4,0.9,0.3731343283582089,0.7910447761194029
巴基斯坦,0.9,0.3,0.8756218905472637,0.31840796019900497
巴基斯坦,1,0.5,0.9800995024875622,0.5422885572139303
巴基斯坦,1,0.5,0.9800995024875622,0.6218905472636815
斯里兰卡,0.9,0.4,0.8507462686567164,0.417910447761194
斯里兰卡,0.6,0.2,0.6666666666666666,0.0945273631840796
斯里兰卡,1,0.6,0.890547263681592,0.36318407960199006
孟加拉国,0.3,0.9,0.2885572139303483,0.8955223880597015
孟加拉国,0.2,0.8,0.12935323383084577,0.8557213930348259
孟加拉国,0.1,0.4,0.05970149253731343,0.3283582089552239
尼泊尔,0.5,0.1,0.5422885572139303,0.06467661691542288
尼泊尔,0.7,0.1,0.6069651741293532,0.02487562189054726
尼泊尔,0.4,0.1,0.417910447761194,0.014925373134328358
阿拉伯联合酋长国,0.9,0.6,0.8955223880597015,0.5621890547263682
阿拉伯联合酋长国,0.5,0.2,0.5621890547263682,0.24378109452736318
阿拉伯联合酋长国,0.9,0.6,0.8507462686567164,0.47761194029850745
科威特,0.5,0.8,0.5621890547263682,0.8308457711442786
科威特,0.4,0.7,0.31343283582089554,0.6019900497512438
科威特,0.2,0.9,0.25870646766169153,0.6666666666666666
土耳其,0.6,0.8,0.5771144278606966,0.8009950248756219
土耳其,0.5,1,0.472636815920398,0.990049751243781
土耳其,0.3,0.8,0.3034825870646766,0.8855721393034826
卡塔尔,0.3,0.8,0.25870646766169153,0.835820895522388
卡塔尔,0.5,0.7,0.34825870646766166,0.681592039800995
卡塔尔,0.8,0.6,0.6915422885572139,0.8109452736318408
阿曼,0.8,0.9,0.8258706467661692,0.900497512437811
阿曼,0.9,0.9,0.9502487562189055,0.9303482587064676
阿曼,1,1,1,1
