country_name,p.noeff.did.mb,p.noeff.sc.mb,p.noeff.did.all,p.noeff.sc.all
蒙古,0.7647058823529411,0.47058823529411764,0.7860696517412935,0.42786069651741293
新加坡,0.6470588235294118,0.17647058823529413,0.8159203980099502,0.1791044776119403
印度尼西亚,0.5882352941176471,0.058823529411764705,0.36318407960199006,0.15422885572139303
马来西亚,0.7647058823529411,0.058823529411764705,0.6616915422885572,0.004975124378109453
泰国,1,0.29411764705882354,0.9203980099502488,0.2835820895522388
越南,0.8823529411764706,0.29411764705882354,0.9054726368159204,0.3582089552238806
菲律宾,0.7058823529411765,0.058823529411764705,0.8606965174129353,0.009950248756218905
柬埔寨,0.9411764705882353,0.17647058823529413,0.9950248756218906,0.12437810945273632
缅甸,1,0.17647058823529413,0.9850746268656716,0.1144278606965174
老挝,0.47058823529411764,0.11764705882352941,0.43283582089552236,0.04975124378109452
文莱,0.6470588235294118,0.11764705882352941,0.8656716417910447,0.22388059701492538
东帝汶,0.47058823529411764,0.17647058823529413,0.31343283582089554,0.2885572139303483
印度,0.5294117647058824,0.17647058823529413,0.5323383084577115,0.014925373134328358
巴基斯坦,0.8235294117647058,0.6470588235294118,0.990049751243781,0.6368159203980099
斯里兰卡,0.8235294117647058,0.11764705882352941,0.7412935323383084,0.10945273631840796
孟加拉国,0.29411764705882354,0.058823529411764705,0.13432835820895522,0.11940298507462686
尼泊尔,0.11764705882352941,0.9411764705882353,0.19402985074626866,0.736318407960199
阿拉伯联合酋长国,0.29411764705882354,0.23529411764705882,0.05472636815920398,0.0845771144278607
科威特,0.47058823529411764,1,0.4427860696517413,0.9601990049751243
土耳其,0.8823529411764706,0.4117647058823529,0.9950248756218906,0.417910447761194
卡塔尔,0.7058823529411765,0.11764705882352941,0.6467661691542288,0.009950248756218905
阿曼,1,1,0.9154228855721392,0.9054726368159204
黎巴嫩,0.47058823529411764,0.8235294117647058,0.5572139303482587,0.945273631840796
沙特阿拉伯,1,1,0.9950248756218906,0.9950248756218906
巴林,0.058823529411764705,0.6470588235294118,0.01990049751243781,0.681592039800995
也门共和国,0.29411764705882354,0.11764705882352941,0.3731343283582089,0.004975124378109453
伊朗,0.7058823529411765,0.058823529411764705,0.845771144278607,0.01990049751243781
约旦,0.6470588235294118,0.4117647058823529,0.472636815920398,0.3582089552238806
叙利亚,0.35294117647058826,0.8235294117647058,0.2288557213930348,0.7512437810945274
伊拉克,0.8235294117647058,0.9411764705882353,0.9701492537313433,0.9950248756218906
阿富汗,1,0.7647058823529411,1,0.8606965174129353
巴勒斯坦,0.47058823529411764,0.17647058823529413,0.4427860696517413,0.24378109452736318
阿塞拜疆,0.4117647058823529,0.058823529411764705,0.18407960199004975,0.07960199004975124
格鲁吉亚,1,0.23529411764705882,0.900497512437811,0.10945273631840796
亚美尼亚,1,0.17647058823529413,0.8557213930348259,0.10945273631840796
哈萨克斯坦,1,0.4117647058823529,0.9601990049751243,0.46766169154228854
吉尔吉斯,0.6470588235294118,0.5882352941176471,0.43283582089552236,0.5572139303482587
土库曼,1,0.8823529411764706,1,0.9253731343283582
塔吉克,0.7647058823529411,1,0.9701492537313433,0.8507462686567164
乌兹别克,0.35294117647058826,0.058823529411764705,0.11940298507462686,0.11940298507462686
埃及,0.29411764705882354,0.5294117647058824,0.3034825870646766,0.39303482587064675
波兰,0.7647058823529411,0.35294117647058826,0.9651741293532338,0.13930348258706468
阿尔巴尼亚,0.6470588235294118,0.8235294117647058,0.5671641791044776,0.990049751243781
爱沙尼亚,0.47058823529411764,0.7058823529411765,0.43283582089552236,0.5671641791044776
立陶宛,0.5294117647058824,0.058823529411764705,0.7263681592039801,0.1144278606965174
斯洛文尼亚,0.47058823529411764,0.4117647058823529,0.3880597014925373,0.22388059701492538
保加利亚,0.7058823529411765,0.8823529411764706,0.7014925373134329,0.8756218905472637
捷克,1,0.4117647058823529,0.9651741293532338,0.36318407960199006
匈牙利,0.9411764705882353,0.7647058823529411,0.7910447761194029,0.9253731343283582
马其顿,0.47058823529411764,0.47058823529411764,0.681592039800995,0.2885572139303483
塞尔维亚,0.23529411764705882,0.058823529411764705,0.10945273631840796,0.0945273631840796
罗马尼亚,0.47058823529411764,0.17647058823529413,0.3731343283582089,0.03482587064676617
斯洛伐克,0.8823529411764706,1,0.8009950248756219,0.9552238805970149
克罗地亚,0.35294117647058826,0.29411764705882354,0.36318407960199006,0.31840796019900497
拉脱维亚,0.6470588235294118,0.35294117647058826,0.6019900497512438,0.1691542288557214
波斯尼亚—黑塞哥维那,0.47058823529411764,0.8823529411764706,0.2537313432835821,0.8706467661691543
黑山,0.35294117647058826,0.058823529411764705,0.02487562189054726,0.03482587064676617
乌克兰,0.7647058823529411,0.5294117647058824,0.9303482587064676,0.47761194029850745
白俄罗斯,0.47058823529411764,0.9411764705882353,0.2835820895522388,0.9353233830845771
摩尔多瓦,0.5882352941176471,0.29411764705882354,0.7512437810945274,0.3233830845771144
俄罗斯,0.7058823529411765,0.058823529411764705,0.945273631840796,0.01990049751243781
